Time,I
2.216,14.41669996004794
2.217,14.41869756292449
2.218,14.420695165801035
2.219,14.422692768677583
2.22,14.424690371554131
2.221,14.42668797443068
2.222,14.42868557730723
2.223,14.430683180183776
2.224,14.432680783060324
2.225,14.434678385936872
2.226,14.436675988813423
2.227,14.438673591689971
2.228,14.44067119456652
2.229,14.442668797443067
2.23,14.444666400319615
2.231,14.446664003196164
2.232,14.448661606072712
2.233,14.45065920894926
2.234,14.452656811825808
2.235,14.454654414702356
2.236,14.456652017578904
2.237,14.458649620455452
2.238,14.460647223332
2.239,14.462644826208548
2.24,14.464642429085096
2.241,14.466640031961644
2.242,14.468637634838192
2.243,14.47063523771474
2.244,14.47263284059129
2.245,14.474630443467838
2.246,14.476628046344386
2.247,14.478625649220934
2.248,14.480623252097482
2.249,14.48262085497403
2.25,14.484618457850578
2.251,14.486616060727126
2.2520000000000002,14.488613663603674
2.253,14.490611266480222
2.254,14.49260886935677
2.255,14.494606472233318
2.2560000000000002,14.496604075109866
2.257,14.498601677986414
2.258,14.500599280862962
2.259,14.50259688373951
2.2600000000000002,14.50459448661606
2.261,14.506592089492608
2.262,14.508589692369156
2.263,14.510587295245704
2.2640000000000002,14.512584898122252
2.265,14.5145825009988
2.266,14.516580103875349
2.267,14.518577706751897
2.2680000000000002,14.520575309628445
2.269,14.522572912504993
2.27,14.52457051538154
2.271,14.526568118258089
2.2720000000000002,14.528565721134637
2.273,14.530563324011183
2.274,14.532560926887731
2.275,14.53455852976428
2.2760000000000002,14.536556132640827
2.277,14.538553735517375
2.278,14.540551338393923
2.279,14.542548941270471
2.2800000000000002,14.544546544147025
2.281,14.546544147023573
2.282,14.54854174990012
2.283,14.550539352776669
2.2840000000000003,14.552536955653215
2.285,14.554534558529763
2.286,14.556532161406311
2.287,14.55852976428286
2.2880000000000003,14.560527367159407
2.289,14.562524970035955
2.29,14.564522572912503
2.291,14.566520175789051
2.2920000000000003,14.5685177786656
2.293,14.570515381542148
2.294,14.572512984418696
2.295,14.574510587295244
2.2960000000000003,14.576508190171792
2.297,14.57850579304834
2.298,14.58050339592489
2.299,14.582500998801438
2.3000000000000003,14.584498601677986
2.301,14.586496204554534
2.302,14.588493807431082
2.303,14.59049141030763
